Розіграш	Дата проведення	Лототрон	Комплект кульок	Кулька номер 1	Кулька номер 2	Кулька номер 3	Кулька номер 4	Кулька номер 5	к-ть переможців в категорії 5х5	приз в категорії 5х5	к-ть переможців в категорії 4х5	приз в категорії 4х5	к-ть переможців в категорії 3х5	приз в категорії 3х5	к-ть переможців в категорії 2х5	приз в категорії 2х5
1308	2017-04-16	А	3	9	38	2	7	30	0	1600000	9	3554	294	102	3797	8
1307	2017-04-13	А	3	21	3	18	28	25	0	1570000	7	4800	274	115	3788	8
1306	2017-04-11	Б	4	25	10	12	3	9	0	1540000	8	3735	292	96	3839	8
1305	2017-04-09	Б	1	11	7	18	33	3	0	1505000	11	3440	437	81	4845	8
1304	2017-04-06	А	2	34	38	26	3	12	0	1480000	4	7644	248	116	3270	8
1303	2017-04-04	Б	1	26	8	34	6	30	0	1445000	8	3534	280	95	3643	8
1302	2017-04-02	Б	3	33	10	29	6	12	0	1420000	6	6071	301	114	4627	8
1301	2017-03-30	А	4	35	8	24	33	27	0	1390000	6	4657	353	74	4044	8
1300	2017-03-28	Б	3	1	38	22	41	32	0	1360000	5	7272	280	122	3965	8
1299	2017-03-26	Б	3	25	5	16	6	11	0	1335000	19	1705	502	60	5152	8
1298	2017-03-23	А	2	8	18	28	40	2	0	1312000	4	7380	307	90	3637	8
1297	2017-03-21	А	2	37	41	7	24	20	0	1282000	5	5815	230	119	3169	8
1296	2017-03-19	А	1	4	26	21	10	17	0	1255000	8	4221	483	66	5125	8
1295	2017-03-16	А	1	19	2	7	24	20	0	1230000	5	6005	308	92	3423	8
1294	2017-03-14	А	1	10	38	2	14	44	0	1205000	7	5158	348	97	4513	8
1293	2017-03-12	А	1	11	16	32	36	7	0	1177000	4	7359	250	111	3600	8
1292	2017-03-09	А	2	19	41	20	40	18	0	1152000	8	3259	260	94	3225	8
1291	2017-03-07	А	3	11	20	4	43	7	0	1115000	7	4103	326	83	3748	8
1290	2017-03-05	Б	2	45	28	10	36	24	0	1085000	6	4890	265	104	3553	8
1289	2017-03-02	А	2	19	14	20	33	32	0	1060000	7	4972	328	100	4624	8
1288	2017-02-28	А	1	41	9	26	31	19	0	1040000	9	3230	328	83	4456	8
1287	2017-02-26	А	4	7	29	6	4	2	0	1020000	12	2310	247	106	3348	8
1286	2017-02-23	Б	1	34	13	30	18	15	0	1000000	10	2527	334	71	3712	8
1285	2017-02-21	Б	1	25	29	2	44	27	0	975000	13	1762	419	51	3532	8
1284	2017-02-19	А	1	28	19	16	20	42	0	953000	10	2516	323	73	3378	8
1283	2017-02-16	Б	1	5	33	38	4	39	0	930000	4	6176	195	119	3084	8
1282	2017-02-14	А	3	12	8	1	10	17	0	910000	3	8173	219	105	3121	8
1281	2017-02-12	Б	2	36	3	43	42	34	0	890000	9	2868	228	106	3025	8
1280	2017-02-09	Б	3	16	32	31	45	22	0	870000	9	2523	142	151	2277	8
1279	2017-02-07	Б	1	1	15	21	37	16	0	835000	1	21307	175	114	2369	8
1278	2017-02-05	А	2	42	12	38	32	31	0	810000	4	6534	263	93	3404	8
1277	2017-02-02	А	4	9	35	44	22	12	0	790000	5	4987	207	113	2845	8
1276	2017-01-31	Б	3	26	16	7	8	5	0	770000	6	3925	269	82	2975	8
1275	2017-01-29	А	3	26	5	21	16	40	0	743000	6	3744	204	104	2832	8
1274	2017-01-26	А	1	37	1	43	17	26	0	725000	10	2241	163	129	2098	8
1273	2017-01-24	Б	2	1	32	43	23	11	0	705000	5	3953	200	93	2306	8
1272	2017-01-22	Б	1	2	30	26	15	6	0	685000	12	1805	238	85	2475	8
1271	2017-01-19	Б	2	12	21	27	9	24	0	665000	7	2726	181	99	2375	8
1270	2017-01-17	Б	3	9	37	6	34	31	0	647000	1	19882	129	145	2361	8
1269	2017-01-15	Б	3	41	42	27	39	11	0	625000	4	5084	153	125	2312	8
1268	2017-01-12	Б	3	31	42	22	30	41	0	610000	5	4154	135	145	1919	8
1267	2017-01-10	А	4	6	4	40	32	17	0	590000	12	1421	195	82	2384	8
1266	2017-01-08	Б	4	26	42	18	33	30	0	570000	7	2935	310	62	2759	8
1265	2017-01-05	Б	3	15	25	16	33	38	0	555000	6	3226	249	73	2590	8
1264	2017-01-03	Б	3	45	40	31	13	43	0	535000	5	3676	176	98	1978	8
1263	2017-01-01	Б	4	18	34	22	36	7	0	515000	5	4351	230	89	2804	8
1262	2016-12-29	А	4	24	7	1	40	20	0	500000	6	3745	196	108	2547	8
1261	2016-12-27	Б	3	34	24	5	19	17	0	480000	5	3743	210	84	2535	8
1260	2016-12-25	А	4	41	1	33	18	4	0	465000	2	11489	174	124	2751	8
1259	2016-12-22	А	1	36	30	21	41	31	0	450000	1	18461	135	129	1934	8
1258	2016-12-20	Б	4	22	39	34	15	10	0	400000	2	8459	161	99	1981	8
1257	2016-12-18	Б	4	8	6	28	24	41	1	2692960	9	6657	502	112	6567	8
1256	2016-12-15	А	3	23	10	32	21	25	0	2630000	20	2364	705	63	6887	8
1255	2016-12-13	Б	2	45	12	35	33	31	0	2585000	12	4190	574	82	6521	8
1254	2016-12-11	Б	3	36	41	42	11	20	0	2545000	11	4933	529	96	6438	8
1253	2016-12-08	А	4	42	24	32	10	18	0	2500000	4	12068	492	92	5535	8
1252	2016-12-06	А	1	24	44	28	42	32	0	2450000	9	5901	297	168	4051	8
1251	2016-12-04	Б	2	26	42	44	32	5	0	2410000	23	2219	501	96	4859	8
1250	2016-12-01	Б	1	8	5	15	35	42	0	2370000	13	3396	480	86	4892	8
1249	2016-11-29	А	1	27	15	4	23	32	0	2330000	13	3590	455	96	5260	8
1248	2016-11-27	Б	2	8	35	18	11	38	0	2290000	6	7407	489	85	5439	8
1247	2016-11-24	Б	1	20	4	21	26	11	0	2245000	13	3502	450	95	5322	8
1246	2016-11-22	А	4	43	20	29	24	41	0	2205000	6	8394	336	141	5476	8
1245	2016-11-20	А	1	11	9	3	44	17	0	2165000	6	7237	399	102	5300	8
1244	2016-11-17	А	4	18	41	16	42	22	0	2135000	1	44936	306	138	5170	8
1243	2016-11-15	А	4	7	14	20	25	22	0	2090000	12	2850	421	76	4775	8
1242	2016-11-13	А	1	19	21	40	27	39	0	2055000	26	1913	609	77	5955	8
1241	2016-11-10	А	4	26	6	17	37	4	0	2013000	13	3049	314	119	4323	8
1240	2016-11-08	Б	1	18	2	4	26	14	0	1970000	8	5478	359	115	4894	8
1239	2016-11-06	Б	2	18	45	21	26	7	0	1930000	8	5342	458	88	6255	8
1238	2016-11-03	Б	4	41	40	32	23	11	0	1890000	9	4422	369	101	4096	8
1237	2016-11-01	А	4	31	34	11	35	12	0	1850000	7	5936	267	146	3639	8
1236	2016-10-30	А	4	17	11	40	21	34	0	1820000	20	1980	521	71	6131	8
1235	2016-10-27	А	1	19	28	13	15	3	0	1780000	5	7241	376	90	4711	8
1234	2016-10-25	Б	3	5	31	29	32	12	0	1740000	5	8568	272	148	3996	8
1233	2016-10-23	Б	1	33	18	12	41	35	0	1710000	3	14097	274	145	3930	8
1232	2016-10-20	Б	2	22	29	37	8	17	0	1675000	7	4712	450	69	5292	8
1231	2016-10-18	Б	4	42	20	44	6	19	0	1635000	1	35054	264	125	4374	8
1230	2016-10-16	А	4	2	40	7	41	3	0	1590000	9	5092	397	109	5573	8
1229	2016-10-13	Б	4	20	18	25	7	4	0	1555000	3	11353	305	105	3880	8
1228	2016-10-11	А	1	24	28	32	7	41	0	1510000	7	4827	361	88	4447	8
1227	2016-10-09	А	4	12	36	4	35	19	0	1485000	2	20207	307	124	4577	8
1226	2016-10-06	А	1	25	37	21	12	31	0	1460000	12	2547	312	92	3490	8
1225	2016-10-04	А	2	19	24	21	33	15	0	1430000	4	7810	300	98	3758	8
1224	2016-10-02	А	1	1	33	8	27	13	0	1400000	8	4204	319	99	4232	8
1223	2016-09-29	А	2	4	1	25	42	21	0	1375000	2	15764	220	135	3545	8
1222	2016-09-27	А	3	25	31	19	40	41	0	1345000	3	10197	288	100	3725	8
1221	2016-09-25	А	3	9	5	27	39	31	0	1310000	7	4567	306	98	3798	8
1220	2016-09-22	А	2	23	34	31	4	29	0	1285000	6	5270	220	135	3163	8
1219	2016-09-20	Б	2	40	13	26	23	11	0	1255000	4	6946	280	93	3242	8
1218	2016-09-18	Б	2	11	2	18	28	20	0	1235000	9	3578	372	81	4482	8
1217	2016-09-15	А	2	29	13	5	26	16	0	1210000	4	6447	301	80	3979	8
1216	2016-09-13	Б	4	4	7	42	30	8	0	1180000	4	6781	196	130	3245	8
1215	2016-09-11	Б	2	18	15	10	37	5	0	1155000	6	5393	310	98	3617	8
1214	2016-09-08	Б	3	14	43	32	34	9	0	1130000	5	5596	209	126	3450	8
1213	2016-09-06	А	4	5	37	15	35	1	0	1100000	10	2919	251	109	3517	8
1212	2016-09-04	Б	1	27	31	18	30	6	0	1040000	3	10208	239	121	3414	8
1211	2016-09-01	А	2	4	6	23	35	5	0	1030000	1	27105	199	128	3195	8
1210	2016-08-30	Б	1	38	33	1	42	3	0	1020000	12	1915	255	85	2819	8
1209	2016-08-28	А	3	38	42	10	30	4	0	1010000	6	5062	349	82	3807	8
1208	2016-08-25	Б	2	9	35	11	22	21	0	1000000	11	2637	321	85	3948	8
1207	2016-08-23	А	4	4	26	5	22	14	0	990000	11	2154	270	82	2801	8
1206	2016-08-21	Б	3	28	43	16	35	14	0	980000	7	3885	218	117	2791	8
1205	2016-08-18	А	4	11	18	4	26	2	0	970000	2	13350	326	77	3500	8
1204	2016-08-16	А	3	27	14	29	41	26	0	960000	4	6541	175	141	2808	8
1203	2016-08-14	А	4	41	20	9	38	24	0	950000	8	3886	213	137	3524	8
1202	2016-08-11	Б	3	16	40	25	36	4	0	940000	3	9350	224	118	2867	8
1201	2016-08-09	А	1	37	24	40	23	26	0	930000	7	3251	204	105	2787	8
1200	2016-08-07	Б	4	11	17	32	3	20	0	920000	5	4746	351	63	4052	8
1199	2016-08-04	А	3	36	43	16	6	23	0	910000	4	5505	224	92	2760	8
1198	2016-08-02	А	2	26	33	7	31	45	0	900000	2	11728	173	128	2980	8
1197	2016-07-31	А	1	2	32	23	27	4	0	890000	1	27598	257	101	3389	8
1196	2016-07-28	Б	1	4	31	12	7	5	0	880000	4	7370	268	103	3340	8
1195	2016-07-26	Б	1	8	45	34	15	28	0	870000	3	7894	150	149	2395	8
1194	2016-07-24	А	1	20	31	27	15	8	0	860000	4	5946	206	109	2572	8
1193	2016-07-21	Б	4	28	10	12	7	21	0	850000	13	1590	341	57	3577	8
1192	2016-07-19	Б	4	39	34	8	44	5	0	840000	2	12867	142	171	2470	8
1191	2016-07-17	Б	1	20	5	45	19	2	0	830000	8	2660	240	83	3126	8
1190	2016-07-14	Б	3	14	41	39	36	5	0	820000	7	3092	219	93	2355	8
1189	2016-07-12	А	4	15	39	44	23	10	0	810000	1	21530	188	108	2323	8
1188	2016-07-10	Б	3	24	35	12	8	19	0	800000	17	1406	344	65	3470	8
1187	2016-07-07	Б	4	40	36	10	27	11	0	790000	4	5359	221	91	2656	8
1186	2016-07-05	Б	1	4	41	9	35	33	0	780000	3	5958	167	101	2175	8
1185	2016-07-03	Б	1	44	29	24	33	9	0	770000	2	10190	173	111	2055	8
1184	2016-06-30	А	2	17	35	22	41	42	0	750000	3	6298	170	104	2276	8
1183	2016-06-28	А	1	14	32	34	17	11	0	730000	4	3323	186	65	2120	6
1182	2016-06-26	Б	2	11	20	5	18	13	0	710000	5	2989	199	69	2519	6
1181	2016-06-23	А	4	8	6	23	44	9	0	690000	7	2078	233	57	2291	6
1180	2016-06-21	А	2	16	43	27	26	10	0	670000	2	7950	198	74	2329	6
1179	2016-06-19	А	1	18	3	7	16	23	0	650000	5	2797	192	67	2819	6
1178	2016-06-16	А	2	15	33	23	8	27	0	630000	9	1611	239	56	2732	6
1177	2016-06-14	А	4	11	18	25	31	20	0	610000	3	5237	161	90	2265	6
1176	2016-06-12	А	2	5	36	42	20	22	0	590000	2	7688	153	92	1874	6
1175	2016-06-09	Б	1	20	1	18	42	13	0	570000	3	5944	132	124	2341	6
1174	2016-06-07	Б	2	4	21	43	30	18	0	550000	2	7279	156	86	2170	6
1173	2016-06-05	А	1	24	5	42	37	4	0	530000	3	5287	161	90	2396	6
1172	2016-06-02	А	3	29	5	40	34	8	0	510000	11	1167	271	43	2482	6
1171	2016-05-31	Б	3	45	1	31	6	10	0	480000	7	2070	160	83	2176	6
1170	2016-05-29	Б	4	4	44	10	22	23	0	450000	11	1201	201	60	2005	6
1169	2016-05-26	Б	1	32	43	28	42	4	0	420000	10	1298	261	45	2324	6
1168	2016-05-24	А	1	33	35	38	11	16	0	400000	8	1412	209	49	2033	6
1167	2016-05-22	Б	1	24	40	20	36	33	1	2380935	37	1381	801	58	8428	6
1166	2016-05-19	Б	3	27	17	14	6	7	0	2245000	17	2695	545	77	6364	6
1165	2016-05-17	А	3	13	20	30	14	44	0	2200000	6	7903	308	142	5806	6
1164	2016-05-15	А	2	22	21	10	6	24	0	2155000	12	4401	491	99	6733	6
1163	2016-05-12	А	2	2	15	43	27	21	0	2110000	13	3887	580	80	8343	6
1162	2016-05-10	Б	2	41	6	23	16	44	0	2075000	19	2108	615	60	8359	6
1161	2016-05-08	Б	4	39	20	3	8	13	0	2035000	6	7721	488	87	6677	6
1160	2016-05-05	А	4	1	8	10	17	26	0	1990000	8	5736	440	96	5423	6
1159	2016-05-03	Б	2	19	17	36	13	32	0	1950000	13	2307	387	71	4351	6
1158	2016-05-01	А	4	26	19	29	21	6	0	1910000	25	1823	600	70	7124	6
1157	2016-04-28	Б	1	6	29	37	5	39	0	1865000	13	3560	412	103	6036	6
1156	2016-04-26	Б	1	10	32	8	2	43	0	1820000	4	12625	331	140	5837	6
1155	2016-04-24	А	3	43	39	30	16	15	0	1775000	8	5153	693	54	7878	6
1154	2016-04-21	Б	3	37	31	8	33	10	0	1735000	8	4418	407	80	5592	6
1153	2016-04-19	А	1	1	22	6	14	30	0	1690000	14	2592	335	100	4712	6
1152	2016-04-17	Б	4	21	36	9	10	24	0	1640000	9	4297	518	68	6452	6
1151	2016-04-14	Б	1	19	30	41	34	21	0	1600000	7	4568	485	60	5643	6
1150	2016-04-12	А	1	4	45	33	3	18	0	1560000	10	3250	383	78	5383	6
1149	2016-04-10	А	1	40	6	35	22	14	0	1520000	5	7365	429	79	6074	6
1148	2016-04-07	Б	1	39	27	6	44	38	0	1460000	13	2430	362	80	5162	6
1147	2016-04-05	А	3	11	9	42	29	21	0	1400000	10	3045	282	99	3871	6
1146	2016-04-03	А	3	19	21	44	45	30	0	1350000	3	11771	340	95	4163	6
1145	2016-03-31	А	1	16	31	45	18	40	0	1300000	6	4518	291	86	3907	6
1144	2016-03-29	А	3	9	45	26	17	31	0	1260000	22	953	501	38	4865	6
1143	2016-03-27	Б	4	29	42	30	34	38	0	1220000	11	2328	284	83	3536	6
1142	2016-03-24	А	4	27	25	12	10	19	0	1180000	3	6972	176	109	2973	6
1141	2016-03-22	А	1	18	2	27	7	32	0	1140000	4	5422	193	103	2855	6
1140	2016-03-20	Б	4	13	22	21	4	5	0	1100000	4	5248	311	62	3525	6
1139	2016-03-17	А	2	22	31	8	40	33	0	1060000	5	3832	251	70	2871	6
1138	2016-03-15	Б	4	45	22	12	32	7	0	1025000	3	7051	187	104	3001	6
1137	2016-03-13	А	2	10	7	27	8	34	0	990000	8	2325	261	65	3198	6
1136	2016-03-10	А	1	18	44	19	5	30	0	960000	3	5683	150	104	2167	6
1135	2016-03-08	А	3	33	15	25	27	8	0	930000	20	622	349	32	3067	6
1134	2016-03-06	А	1	21	18	1	5	37	0	890000	6	3026	231	72	2893	6
1133	2016-03-03	Б	1	43	42	21	2	25	0	845000	3	5716	164	96	2196	6
1132	2016-03-01	А	3	39	13	29	24	20	0	815000	4	3977	158	92	2045	6
1131	2016-02-28	А	1	13	16	21	43	33	0	780000	1	17749	294	55	3354	6
1130	2016-02-25	Б	4	45	1	31	37	2	0	740000	0	0	110	132	1865	6
1129	2016-02-23	А	4	38	2	32	5	24	0	710000	6	2639	150	97	2110	6
1128	2016-02-21	А	3	43	20	24	16	31	0	680000	15	990	279	49	2446	6
1127	2016-02-18	А	1	1	22	45	14	20	0	650000	1	14715	162	83	1992	6
1126	2016-02-16	Б	3	29	3	30	40	19	0	620000	4	3550	165	79	2003	6
1125	2016-02-14	А	2	7	9	39	24	1	0	590000	2	7064	169	77	2547	6
1124	2016-02-11	А	2	22	3	28	25	38	0	550000	0	0	206	62	2104	6
1123	2016-02-09	А	3	14	30	17	7	26	0	525000	7	1885	170	71	2150	6
1122	2016-02-07	Б	4	29	35	24	5	33	0	495000	2	7131	142	92	1912	6
1121	2016-02-04	Б	4	30	7	32	33	44	0	470000	1	13404	129	95	1703	6
1120	2016-02-02	Б	4	5	14	25	36	27	0	450000	5	2411	155	71	1860	6
1119	2016-01-31	Б	1	13	10	27	40	32	0	430000	7	1841	130	91	1917	6
1118	2016-01-28	Б	4	6	24	41	15	44	0	400000	2	6660	115	106	1712	6
1117	2016-01-26	Б	2	30	44	10	36	34	0	375000	2	6162	91	125	1456	6
1116	2016-01-24	Б	3	36	2	3	8	13	0	350000	5	2360	168	64	1771	6
1115	2016-01-21	Б	4	24	22	13	33	8	0	320000	4	2664	159	61	1810	6
1114	2016-01-19	А	4	18	38	3	2	34	0	300000	3	3356	100	92	1478	6
1113	2016-01-17	А	4	17	1	36	5	45	0	280000	3	3520	142	68	1817	6
1112	2016-01-14	А	1	7	22	19	18	14	0	260000	6	1751	187	51	1849	6
1111	2016-01-12	Б	1	5	38	13	3	18	0	240000	12	769	195	43	1953	6
1110	2016-01-10	А	3	33	19	32	6	1	0	220000	1	9948	120	76	1526	6
1109	2016-01-07	А	3	4	14	11	28	19	0	210000	4	1841	103	66	1260	6
1108	2016-01-05	Б	4	41	26	21	35	10	0	190000	2	4631	91	93	1417	6
1107	2016-01-03	Б	3	23	27	1	9	14	0	170000	3	2410	99	67	1393	6
1106	2015-12-31	А	1	33	42	27	29	39	0	150000	1	11970	170	64	1938	6
1105	2015-12-29	А	2	22	44	11	39	1	0	130000	4	2522	100	93	1402	6
1104	2015-12-27	Б	2	40	15	19	12	26	0	120000	3	3260	149	60	1529	6
1103	2015-12-24	Б	3	13	4	17	24	35	0	100000	3	2809	202	38	1630	6
1102	2015-12-22	А	4	11	2	7	5	33	0	75000	3	2603	141	51	1675	6
1101	2015-12-20	А	1	45	40	10	20	44	0	50000	5	2444	139	81	1599	6
1100	2015-12-17	А	1	15	12	39	14	4	0	20000	0	0	98	108	1588	6
1099	2015-12-15	Б	3	6	11	38	20	45	1	1710031	56	529	685	39	5626	6
1098	2015-12-13	Б	4	32	22	25	31	1	0	1660000	5	5871	260	104	4239	6
1097	2015-12-10	Б	2	43	25	7	39	12	0	1620000	9	3068	312	81	3972	6
1096	2015-12-08	Б	3	40	14	25	23	8	0	1585000	10	2906	305	87	4524	6
1095	2015-12-06	А	4	16	5	21	41	10	0	1550000	19	1368	645	37	6368	6
1094	2015-12-03	А	1	8	34	12	32	2	0	1520000	16	1944	481	59	5599	6
1093	2015-12-01	А	4	3	19	13	4	36	0	1490000	6	4035	408	54	4934	6
1092	2015-11-29	А	3	18	26	30	28	33	0	1460000	9	3021	247	101	3824	6
1091	2015-11-26	Б	4	30	36	37	7	26	0	1425000	14	1837	371	63	4720	6
1090	2015-11-24	А	4	33	39	32	10	9	0	1390000	4	6451	205	116	3481	6
1089	2015-11-22	Б	4	31	10	25	33	45	0	1360000	4	6176	244	93	3129	6
1088	2015-11-19	А	1	40	3	37	23	41	0	1320000	6	3785	295	71	3553	6
1087	2015-11-17	Б	2	37	9	28	3	42	0	1280000	4	5685	222	94	3354	6
1086	2015-11-15	Б	1	33	7	14	42	45	0	1240000	6	4328	314	76	3731	6
1085	2015-11-12	А	3	17	11	30	6	1	0	1200000	8	2829	303	68	3732	6
1084	2015-11-10	Б	3	44	5	29	25	35	0	1160000	3	7521	250	83	3072	6
1083	2015-11-08	Б	3	28	8	7	32	13	0	1120000	16	1497	379	58	4104	6
1082	2015-11-05	Б	1	44	30	3	23	27	0	1080000	7	3144	176	115	3232	6
1081	2015-11-03	А	2	21	34	24	13	19	0	1045000	2	9455	279	62	3446	6
1080	2015-11-01	А	4	27	6	28	43	3	0	1000000	5	4514	277	75	3713	6
1079	2015-10-29	А	3	14	29	42	18	5	0	970000	14	1286	262	63	2878	6
1078	2015-10-27	А	1	25	17	33	39	22	0	930000	5	3399	286	54	3116	6
1077	2015-10-25	А	4	31	11	23	7	18	0	900000	9	2137	215	82	2917	6
1076	2015-10-22	А	1	12	31	34	43	44	0	860000	4	4452	181	90	2180	6
1075	2015-10-20	А	4	9	8	15	29	23	0	830000	3	4988	176	78	2685	6
1074	2015-10-18	Б	2	8	23	45	11	2	0	790000	3	5951	205	80	2545	6
1073	2015-10-15	А	4	20	44	26	45	43	0	760000	1	15768	159	91	2097	6
1072	2015-10-13	Б	2	6	36	41	4	21	0	730000	1	15261	181	77	2113	6
1071	2015-10-11	А	4	25	14	44	2	40	0	700000	4	3955	214	68	2387	6
1070	2015-10-08	Б	2	34	42	22	23	7	0	670000	3	5153	143	99	2181	6
1069	2015-10-06	Б	3	11	7	37	32	17	0	640000	5	2861	170	77	2019	6
1068	2015-10-04	Б	3	6	8	41	7	13	0	600000	4	3376	160	77	2270	6
1067	2015-10-01	А	2	22	42	8	21	17	0	580000	4	3482	139	92	2252	6
1066	2015-09-29	Б	3	20	23	25	45	33	0	560000	1	12204	155	72	2009	6
1065	2015-09-27	Б	3	24	17	15	11	2	0	530000	2	7323	147	91	2107	6
1064	2015-09-24	Б	1	39	12	45	44	26	0	500000	4	3198	107	110	1637	6
1063	2015-09-22	А	4	3	10	41	26	25	0	470000	1	12904	139	85	2064	6
1062	2015-09-20	А	1	36	32	23	13	19	0	450000	8	1566	109	106	1930	6
1061	2015-09-17	А	2	10	35	26	45	37	0	420000	8	1607	137	86	1775	6
1060	2015-09-15	А	2	40	37	6	27	8	0	400000	1	11951	135	81	1689	6
1059	2015-09-13	А	4	14	38	36	27	32	0	400000	1	11535	172	61	1832	6
1058	2015-09-10	А	1	27	5	33	8	35	0	370000	1	11289	176	59	1815	6
1057	2015-09-08	Б	3	34	21	38	35	22	0	350000	8	1393	131	78	1641	6
1056	2015-09-06	Б	4	4	10	6	28	15	0	330000	2	5574	143	71	1704	6
1055	2015-09-03	Б	3	40	5	37	28	26	0	310000	4	2574	113	84	1623	6
1054	2015-09-01	А	2	3	25	30	19	23	0	270000	1	9905	99	92	1486	6
1053	2015-08-30	Б	2	7	27	20	36	37	0	270000	3	3321	142	64	1562	6
1052	2015-08-27	Б	3	26	31	11	17	28	0	250000	8	1184	176	49	1752	6
1051	2015-08-25	Б	1	3	30	24	36	28	0	230000	6	1575	116	75	1390	6
1050	2015-08-23	А	2	3	6	2	21	12	0	210000	2	4853	139	64	1563	6
1049	2015-08-20	А	3	20	44	39	28	3	0	190000	3	3113	84	102	1222	6
1048	2015-08-18	Б	3	17	11	4	23	15	0	170000	4	2083	116	66	1353	6
1047	2015-08-16	Б	4	9	35	15	3	38	0	150000	0	0	118	70	1414	6
1046	2015-08-13	А	2	8	21	3	13	33	0	140000	12	653	139	52	1476	6
1045	2015-08-11	А	4	37	25	27	1	38	0	110000	0	0	89	79	951	6
1044	2015-08-09	Б	4	13	5	25	7	8	0	85000	2	3466	150	42	1445	6
1043	2015-08-06	А	4	4	28	13	31	27	0	70000	1	7168	94	70	1147	6
1042	2015-08-04	А	1	25	42	37	17	36	0	60000	1	7153	68	97	855	6
1041	2015-08-02	А	2	21	17	28	23	38	0	40000	4	1589	139	42	1334	6
1040	2015-07-30	А	1	20	36	19	7	22	0	35000	6	1089	62	97	979	6
1039	2015-07-28	Б	2	16	40	7	38	25	1	149946	5	1791	134	61	1577	6
1038	2015-07-26	Б	2	14	22	24	12	19	0	150000	1	9513	82	107	1309	6
1037	2015-07-23	А	4	21	26	27	42	36	0	125000	0	0	80	98	1268	6
1036	2015-07-21	А	2	11	14	36	27	9	0	100000	4	2066	144	52	1386	6
1035	2015-07-19	Б	2	31	14	4	19	3	0	90000	3	2620	106	68	1440	6
1034	2015-07-16	А	2	44	36	22	28	38	0	65000	0	0	76	95	1149	6
1033	2015-07-14	А	2	26	33	22	37	29	0	50000	2	3667	91	74	1104	6
1032	2015-07-12	Б	2	2	29	24	26	8	0	30000	1	7682	112	63	1451	6
1031	2015-07-09	Б	1	30	14	45	36	43	1	786998	0	0	136	100	2046	6
1030	2015-07-07	А	3	26	35	44	4	41	0	770000	2	7346	163	83	2231	6
1029	2015-07-05	Б	2	27	19	3	39	25	0	740000	15	941	305	42	2912	6
1028	2015-07-02	Б	4	15	42	16	27	45	0	710000	1	15895	146	100	2184	6
1027	2015-06-30	А	4	30	37	15	29	18	0	680000	5	2676	216	57	2177	6
1026	2015-06-28	А	2	20	35	21	41	13	0	650000	6	2641	197	74	2537	6
1025	2015-06-25	А	1	1	22	20	16	13	0	620000	6	2425	151	88	2180	6
1024	2015-06-23	А	2	4	32	1	44	6	0	590000	1	13550	126	99	1855	6
1023	2015-06-21	Б	4	27	3	23	14	16	0	560000	5	3044	169	83	2223	6
1022	2015-06-18	А	1	43	4	18	6	25	0	530000	11	1296	269	48	2316	6
1021	2015-06-16	Б	1	42	13	21	43	40	0	490000	3	4238	133	88	1814	6
1020	2015-06-14	А	2	32	17	13	9	16	0	470000	6	2116	209	56	2163	6
1019	2015-06-11	Б	4	41	33	20	30	23	0	460000	3	4059	122	92	1750	6
1018	2015-06-09	Б	3	30	11	7	5	36	0	430000	4	3132	157	73	1745	6
1017	2015-06-07	Б	3	17	3	14	35	44	0	400000	7	1762	122	93	1841	6
1016	2015-06-04	Б	1	26	35	36	43	34	0	370000	3	3788	106	98	1661	6
1015	2015-06-02	Б	2	21	9	8	5	18	0	350000	8	1261	168	55	1856	6
1014	2015-05-31	Б	4	38	26	40	20	2	0	320000	5	2367	131	83	1656	6
1013	2015-05-28	А	2	39	1	2	42	5	0	300000	1	10495	183	52	1980	6
1012	2015-05-26	А	1	23	21	25	41	32	0	280000	3	3695	144	71	1765	6
1011	2015-05-24	Б	3	26	20	14	38	33	0	260000	4	2816	126	82	1676	6
1010	2015-05-21	А	4	8	22	13	20	34	0	240000	6	1787	187	52	2043	6
1009	2015-05-19	Б	2	17	21	25	23	14	0	220000	3	3449	168	56	1864	6
1008	2015-05-17	Б	1	5	21	38	32	29	0	200000	1	10315	123	77	1591	6
1007	2015-05-14	Б	4	11	14	10	17	21	0	170000	0	0	138	65	1646	6
1006	2015-05-12	Б	2	22	11	35	39	34	0	150000	4	2303	123	69	1388	6
1005	2015-05-10	А	3	45	40	33	7	23	0	130000	2	4374	122	66	1455	6
1004	2015-05-07	Б	2	44	15	14	13	9	0	110000	2	4437	96	85	1369	6
1003	2015-05-05	Б	4	16	34	31	3	26	0	100000	3	2583	103	69	1155	6
1002	2015-05-03	А	1	6	38	44	39	23	0	70000	1	7115	62	105	1007	6
1001	2015-04-30	Б	3	26	22	45	4	11	0	50000	0	0	84	84	1197	6
1000	2015-04-28	Б	2	29	7	13	12	42	0	40000	2	3941	76	95	1273	6
999	2015-04-26	Б	3	23	10	3	21	17	1	1202423	6	3022	260	64	3220	6
998	2015-04-23	Б	2	24	33	25	35	17	0	1180000	4	4451	242	67	3160	6
997	2015-04-21	Б	4	29	41	30	20	37	0	1140000	0	0	159	116	2665	6
996	2015-04-19	Б	3	38	22	9	45	11	0	1100000	4	4836	233	76	2881	6
995	2015-04-16	А	4	5	3	7	36	9	0	1060000	13	1400	349	48	3671	6
994	2015-04-14	Б	3	42	6	1	26	20	0	1030000	9	1737	240	60	2640	6
